year,mean,unc
1980,338.91,0.1
1981,340.11,0.1
1982,340.86,0.1
1983,342.53,0.1
1984,344.07,0.1
1985,345.54,0.1
1986,346.96,0.1
1987,348.68,0.1
1988,351.16,0.1
1989,352.78,0.1
1990,354.05,0.1
1991,355.39,0.1
1992,356.1,0.1
1993,356.84,0.1
1994,358.33,0.1
1995,360.18,0.1
1996,361.93,0.1
1997,363.05,0.1
1998,365.7,0.1
1999,367.8,0.1
2000,368.97,0.1
2001,370.57,0.1
2002,372.59,0.1
2003,375.15,0.1
2004,376.95,0.1
2005,378.97,0.1
2006,381.14,0.1
2007,382.9,0.1
2008,385.02,0.1
2009,386.5,0.1
2010,388.76,0.1
2011,390.63,0.1
2012,392.65,0.1
2013,395.39,0.1
2014,397.34,0.1
2015,399.65,0.1
2016,403.09,0.1
2017,405.22,0.1
2018,407.62,0.1
2019,410.07,0.1
2020,412.44,0.1
2021,414.72,0.1
